,Max_depth,N_estimators,Confusion Matrix Split 41,Confusion Matrix Split 42,Confusion Matrix Split 43,Confusion Matrix Split 44,Confusion Matrix Split 45,Confusion Matrix Split 46,Confusion Matrix Split 47,Confusion Matrix Split 48,Confusion Matrix Split 49,Confusion Matrix Split 50
10,5,316,"[4, 1, 0, 5]","[5, 0, 4, 1]","[5, 0, 2, 3]","[2, 3, 2, 3]","[3, 2, 1, 4]","[3, 2, 1, 4]","[4, 1, 2, 2]","[2, 3, 2, 2]","[3, 1, 1, 4]","[2, 2, 0, 5]"
11,5,450,"[3, 2, 0, 5]","[5, 0, 4, 1]","[5, 0, 2, 3]","[2, 3, 2, 3]","[2, 3, 1, 4]","[3, 2, 1, 4]","[4, 1, 2, 2]","[3, 2, 2, 2]","[3, 1, 1, 4]","[2, 2, 0, 5]"
12,6,50,"[3, 2, 0, 5]","[5, 0, 4, 1]","[5, 0, 2, 3]","[3, 2, 2, 3]","[3, 2, 1, 4]","[4, 1, 1, 4]","[4, 1, 2, 2]","[2, 3, 2, 2]","[3, 1, 1, 4]","[2, 2, 0, 5]"
13,6,183,"[4, 1, 0, 5]","[5, 0, 4, 1]","[5, 0, 2, 3]","[3, 2, 2, 3]","[2, 3, 1, 4]","[4, 1, 1, 4]","[4, 1, 2, 2]","[2, 3, 2, 2]","[3, 1, 1, 4]","[2, 2, 0, 5]"
14,6,316,"[4, 1, 0, 5]","[5, 0, 4, 1]","[5, 0, 2, 3]","[2, 3, 2, 3]","[3, 2, 1, 4]","[4, 1, 1, 4]","[4, 1, 3, 1]","[2, 3, 2, 2]","[3, 1, 1, 4]","[2, 2, 0, 5]"
15,6,450,"[3, 2, 0, 5]","[5, 0, 4, 1]","[5, 0, 2, 3]","[2, 3, 2, 3]","[2, 3, 1, 4]","[4, 1, 1, 4]","[4, 1, 3, 1]","[2, 3, 2, 2]","[3, 1, 1, 4]","[2, 2, 0, 5]"
16,7,50,"[3, 2, 0, 5]","[5, 0, 4, 1]","[5, 0, 2, 3]","[3, 2, 2, 3]","[3, 2, 1, 4]","[4, 1, 1, 4]","[4, 1, 2, 2]","[2, 3, 2, 2]","[3, 1, 2, 3]","[2, 2, 0, 5]"
17,7,183,"[4, 1, 0, 5]","[5, 0, 4, 1]","[5, 0, 2, 3]","[3, 2, 2, 3]","[2, 3, 1, 4]","[4, 1, 1, 4]","[4, 1, 2, 2]","[2, 3, 2, 2]","[3, 1, 1, 4]","[2, 2, 0, 5]"
18,7,316,"[4, 1, 0, 5]","[5, 0, 4, 1]","[5, 0, 2, 3]","[2, 3, 2, 3]","[3, 2, 1, 4]","[4, 1, 1, 4]","[4, 1, 3, 1]","[2, 3, 2, 2]","[3, 1, 1, 4]","[2, 2, 0, 5]"
19,7,450,"[3, 2, 0, 5]","[5, 0, 4, 1]","[5, 0, 2, 3]","[2, 3, 2, 3]","[2, 3, 1, 4]","[4, 1, 1, 4]","[4, 1, 3, 1]","[2, 3, 2, 2]","[3, 1, 1, 4]","[2, 2, 0, 5]"
